Study number,drain2,Clay,Sand,pH,Corg,OM,C_N,prec1,prec2,ETP,ETP2,PPE,PPE2,Tair,N_syn,N_org,Ntot,Org,type2,split2,crop2,till2,Cumul,EF,per_N_app,EF_2
10,1,508,93,6.5,46.8,8.06832,13.76470588,599.3,244.1,612,211,0.979248366,1.156872038,4,0,0,0,0,0,0,0,1,4,,,
10,1,508,93,6.5,46.8,8.06832,13.76470588,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.097,0.127,1,0,1,0,1,18.5,11.41732283,14.56692913,11.41732283
10,1,508,93,6.5,46.8,8.06832,13.76470588,599.3,244.1,612,211,0.979248366,1.156872038,4,0.13,0,0.13,0,0,1,0,1,15.25,8.653846154,11.73076923,8.653846154
10,1,508,93,6.5,46.8,8.06832,13.76470588,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.107,0.137,1,0,1,0,1,10,4.379562044,7.299270073,4.379562044
10,1,508,93,6.5,46.8,8.06832,13.76470588,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.107,0.137,1,0,1,0,1,10.63,4.839416058,7.759124088,4.839416058
10,1,508,93,6.5,46.8,8.06832,13.76470588,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.108,0.138,1,0,1,0,1,12.65,6.268115942,9.166666667,6.268115942
10,1,508,93,6.5,46.8,8.06832,13.76470588,599.3,244.1,612,211,0.979248366,1.156872038,4,0.03,0.11,0.14,1,0,1,0,1,10.08,4.342857143,7.2,4.342857143
10,0,163,470,6,29.9,5.15476,14.23809524,762.7,262.6,612,211,1.24624183,1.244549763,4,0,0,0,0,0,0,0,1,0.68,,,
10,0,163,470,6,29.9,5.15476,14.23809524,762.7,262.6,612,211,1.24624183,1.244549763,4,0.13,0,0.13,0,0,1,0,1,0.85,0.130769231,0.653846154,0.130769231
10,0,163,470,6,29.9,5.15476,14.23809524,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.1,0.13,1,0,1,0,1,4.2,2.707692308,3.230769231,2.707692308
10,0,163,470,6,29.9,5.15476,14.23809524,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.103,0.133,1,0,1,0,1,3.3,1.969924812,2.481203008,1.969924812
10,0,163,470,6,29.9,5.15476,14.23809524,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.105,0.135,1,0,1,0,1,3.8,2.311111111,2.814814815,2.311111111
10,0,163,470,6,29.9,5.15476,14.23809524,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.113,0.143,1,0,1,0,1,2.63,1.363636364,1.839160839,1.363636364
10,0,163,470,6,29.9,5.15476,14.23809524,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.124,0.154,1,0,1,0,1,3.53,1.850649351,2.292207792,1.850649351
10,1,508,93,6.5,46.8,8.06832,13.76470588,762.7,262.6,612,211,1.24624183,1.244549763,4,0,0,0,0,0,0,0,1,2.43,,,
10,1,508,93,6.5,46.8,8.06832,13.76470588,762.7,262.6,612,211,1.24624183,1.244549763,4,0.13,0,0.13,0,0,1,0,1,6.08,2.807692308,4.676923077,2.807692308
10,1,508,93,6.5,46.8,8.06832,13.76470588,762.7,262.6,612,211,1.24624183,1.244549763,4,0.03,0.1,0.13,1,0,1,0,1,7.78,4.115384615,5.984615385,4.115384615
